------------------------------
Config: dim 12 window 5
Init Dataloader
Using device: cuda
Begin Training
epoch 7 | batch 26000/43315 batches | ms/batch 18.58153880559481 | loss 398977.0334
epoch 7 | batch 27000/43315 batches | ms/batch 17.954747314806337 | loss 414231.0334
epoch 7 | batch 28000/43315 batches | ms/batch 17.37272802421025 | loss 429584.0334
epoch 7 | batch 29000/43315 batches | ms/batch 16.830854210360297 | loss 444981.0666
epoch 7 | batch 30000/43315 batches | ms/batch 16.325682965914407 | loss 460374.0666
epoch 7 | batch 31000/43315 batches | ms/batch 15.853295280087378 | loss 475757.0666
epoch 7 | batch 32000/43315 batches | ms/batch 15.410001836717129 | loss 491133.0666
epoch 7 | batch 33000/43315 batches | ms/batch 14.993425773851799 | loss 506618.0666
epoch 7 | batch 34000/43315 batches | ms/batch 14.601305940571953 | loss 521925.0666
epoch 7 | batch 35000/43315 batches | ms/batch 14.231550012316022 | loss 537259.0666
epoch 7 | batch 36000/43315 batches | ms/batch 13.882332033581203 | loss 552644.0666
epoch 7 | batch 37000/43315 batches | ms/batch 13.552781150147721 | loss 567820.0666
epoch 7 | batch 38000/43315 batches | ms/batch 13.240191955315439 | loss 583344.0666
epoch 7 | batch 39000/43315 batches | ms/batch 12.94342766663967 | loss 598542.0666
epoch 7 | batch 40000/43315 batches | ms/batch 12.661380749940871 | loss 613762.0666
epoch 7 | batch 41000/43315 batches | ms/batch 12.393033475410647 | loss 629105.0666
epoch 7 | batch 42000/43315 batches | ms/batch 12.137439074970427 | loss 644458.0666
epoch 7 | batch 43000/43315 batches | ms/batch 11.894199193910111 | loss 659889.0666
Epoch [7/30], Loss: 664721.5281
------------------------------
epoch 8 | batch 1000/43315 batches | ms/batch 514.1372911930084 | loss 15411.0000
epoch 8 | batch 2000/43315 batches | ms/batch 257.90427899360657 | loss 30969.0000
epoch 8 | batch 3000/43315 batches | ms/batch 172.49182573954263 | loss 46293.0000
epoch 8 | batch 4000/43315 batches | ms/batch 129.78490430116653 | loss 61669.0000
epoch 8 | batch 5000/43315 batches | ms/batch 104.16027789115905 | loss 76912.0000
epoch 8 | batch 6000/43315 batches | ms/batch 87.08125925064087 | loss 92176.0000
epoch 8 | batch 7000/43315 batches | ms/batch 74.87947804587228 | loss 107544.0000
epoch 8 | batch 8000/43315 batches | ms/batch 65.72695389389992 | loss 122794.0000
epoch 8 | batch 9000/43315 batches | ms/batch 58.60778885417514 | loss 138320.0000
epoch 8 | batch 10000/43315 batches | ms/batch 52.91223745346069 | loss 153495.0000
epoch 8 | batch 11000/43315 batches | ms/batch 48.25205631689592 | loss 168996.0000
epoch 8 | batch 12000/43315 batches | ms/batch 44.36891174316406 | loss 184424.0000
epoch 8 | batch 13000/43315 batches | ms/batch 41.083469317509575 | loss 199752.0000
epoch 8 | batch 14000/43315 batches | ms/batch 38.26715670313154 | loss 214981.0000
epoch 8 | batch 15000/43315 batches | ms/batch 35.82612233161926 | loss 230489.0000
